cruise_agent,cruise_job_duration,cruise_job_id,cruise_job_result,cruise_pipeline_counter,cruise_pipeline_label,cruise_stage_counter,cruise_timestamp_01_scheduled,cruise_timestamp_02_assigned,cruise_timestamp_03_preparing,cruise_timestamp_04_building,cruise_timestamp_05_completing,cruise_timestamp_06_completed
d77245350,147,897,Passed,110,3.110,1,2010-06-24T16:29:17+10:00,2010-06-24T16:29:27+10:00,2010-06-24T16:29:27+10:00,2010-06-24T16:29:32+10:00,2010-06-24T16:31:41+10:00,2010-06-24T16:31:59+10:00
d77245350,148,906,Passed,111,3.111,1,2010-06-24T17:50:25+10:00,2010-06-24T18:04:24+10:00,2010-06-24T18:04:24+10:00,2010-06-24T18:04:28+10:00,2010-06-24T18:06:38+10:00,2010-06-24T18:06:56+10:00
d77245350,192,914,Passed,113,3.113,1,2010-06-25T13:29:44+10:00,2010-06-25T13:29:54+10:00,2010-06-25T13:29:54+10:00,2010-06-25T13:29:58+10:00,2010-06-25T13:32:53+10:00,2010-06-25T13:33:10+10:00
d77245350,142,924,Passed,114,3.114,1,2010-06-25T15:59:58+10:00,2010-06-25T16:00:08+10:00,2010-06-25T16:00:08+10:00,2010-06-25T16:00:12+10:00,2010-06-25T16:02:17+10:00,2010-06-25T16:02:34+10:00
d77245350,148,930,Passed,115,3.115,1,2010-06-25T16:56:42+10:00,2010-06-25T16:56:52+10:00,2010-06-25T16:56:52+10:00,2010-06-25T16:56:55+10:00,2010-06-25T16:59:07+10:00,2010-06-25T16:59:23+10:00
d77245350,149,955,Passed,117,3.117,1,2010-06-28T13:10:08+10:00,2010-06-28T13:10:18+10:00,2010-06-28T13:10:18+10:00,2010-06-28T13:10:22+10:00,2010-06-28T13:12:33+10:00,2010-06-28T13:12:51+10:00
d77245350,148,990,Passed,123,3.123,1,2010-06-28T16:58:09+10:00,2010-06-28T16:58:19+10:00,2010-06-28T16:58:19+10:00,2010-06-28T16:58:22+10:00,2010-06-28T17:00:34+10:00,2010-06-28T17:00:50+10:00
d77245350,140,1013,Passed,125,3.125,1,2010-06-29T12:01:22+10:00,2010-06-29T12:01:32+10:00,2010-06-29T12:01:32+10:00,2010-06-29T12:01:36+10:00,2010-06-29T12:03:40+10:00,2010-06-29T12:03:56+10:00
d77245350,149,1024,Passed,126,3.126,1,2010-06-29T14:39:40+10:00,2010-06-29T14:39:57+10:00,2010-06-29T14:39:57+10:00,2010-06-29T14:40:00+10:00,2010-06-29T14:42:12+10:00,2010-06-29T14:42:29+10:00
d77245350,145,1048,Passed,127,3.127,1,2010-06-29T17:27:27+10:00,2010-06-29T17:27:37+10:00,2010-06-29T17:27:37+10:00,2010-06-29T17:27:41+10:00,2010-06-29T17:29:49+10:00,2010-06-29T17:30:06+10:00
d77245350,140,1111,Passed,128,3.128,1,2010-07-02T09:24:56+10:00,2010-07-02T09:25:06+10:00,2010-07-02T09:25:06+10:00,2010-07-02T09:25:10+10:00,2010-07-02T09:27:15+10:00,2010-07-02T09:27:30+10:00
d77245350,146,1140,Passed,129,3.129,1,2010-07-05T11:19:35+10:00,2010-07-05T11:19:45+10:00,2010-07-05T11:19:45+10:00,2010-07-05T11:19:49+10:00,2010-07-05T11:22:00+10:00,2010-07-05T11:22:15+10:00
d77245350,145,1171,Passed,130,3.130,1,2010-07-06T11:52:32+10:00,2010-07-06T11:52:42+10:00,2010-07-06T11:52:42+10:00,2010-07-06T11:52:46+10:00,2010-07-06T11:54:56+10:00,2010-07-06T11:55:11+10:00
d77245350,148,1176,Passed,131,3.131,1,2010-07-06T13:58:33+10:00,2010-07-06T13:58:44+10:00,2010-07-06T13:58:44+10:00,2010-07-06T13:58:47+10:00,2010-07-06T14:00:58+10:00,2010-07-06T14:01:15+10:00
d77245350,146,1186,Passed,132,3.132,1,2010-07-06T15:37:04+10:00,2010-07-06T15:40:02+10:00,2010-07-06T15:40:02+10:00,2010-07-06T15:40:06+10:00,2010-07-06T15:42:16+10:00,2010-07-06T15:42:32+10:00
